Probe	Ensembl	chromosome_name
PVALB_IL3959862	ENSG00000100362	22
NCF4_IL3944543	ENSG00000100365	22
CSF2RB_IL3944564	ENSG00000100368	22
SLC25A17_IL3961622	ENSG00000100372	22
UPK3A_IL3948528	ENSG00000100373	22
FAM118A_IL3948543	ENSG00000100376	22
KCTD17_IL3944637	ENSG00000100379	22
ST13_IL3961664	ENSG00000100380	22
IL2RB_IL3959986	ENSG00000100385	22
RBX1_IL3946563	ENSG00000100387	22
EP300_IL3946615	ENSG00000100393	22
L3MBTL2_IL3946705	ENSG00000100395	22
RANGAP1_IL3961842	ENSG00000100401	22
ZC3H7B_IL3946762	ENSG00000100403	22
PHF5A_IL3961955	ENSG00000100410	22
POLR3H_IL3961981	ENSG00000100412	22
GTSE1_IL3949055	ENSG00000100416	22
PMM1_IL3962000	ENSG00000100417	22
XRCC6_IL3946970	ENSG00000100418	22
CERK_IL3964154	ENSG00000100422	22
BRD1_IL3965314	ENSG00000100425	22
ZBED4_IL3950405	ENSG00000100426	22
MLC1_IL3965536	ENSG00000100427	22
KCNK10_IL3575241	ENSG00000100433	14
ABHD4_IL3528759	ENSG00000100439	14
KHNYN_IL3530002	ENSG00000100445	14
CTSG_IL3558347	ENSG00000100448	14
GZMH_IL3558359	ENSG00000100450	14
RBM23_IL3556888	ENSG00000100461	14
PRMT5_IL3556924	ENSG00000100462	14
COCH_IL3531163	ENSG00000100473	14
POLE2_IL3563395	ENSG00000100479	14
SOS2_IL3563734	ENSG00000100485	14
CDKL1_IL3563861	ENSG00000100490	14
NIN_IL3564071	ENSG00000100503	14
PYGL_IL3564210	ENSG00000100504	14
TRIM9_IL3564250	ENSG00000100505	14
DDHD1_IL3564997	ENSG00000100523	14
CDKN3_IL3536336	ENSG00000100526	14
CGRRF1_IL3536396	ENSG00000100532	14
ATP6V1D_IL3569200	ENSG00000100554	14
PLEK2_IL3569257	ENSG00000100558	14
PIGH_IL3569339	ENSG00000100564	14
PSMA3_IL3537747	ENSG00000100567	14
VTI1B_IL3569374	ENSG00000100568	14
TOMM20L_IL3537949	ENSG00000100575	14
GSTZ1_IL3545403	ENSG00000100577	14
KIAA0586_IL3537967	ENSG00000100578	14
TMED8_IL3573029	ENSG00000100583	14
AHSA1_IL3545466	ENSG00000100591	14
DAAM1_IL3538213	ENSG00000100592	14
SPTLC2_IL3573152	ENSG00000100596	14
RIN3_IL3548929	ENSG00000100599	14
LGMN_IL3577078	ENSG00000100600	14
ALKBH1_IL3573229	ENSG00000100601	14
SNW1_IL3573261	ENSG00000100603	14
CHGA_IL3549092	ENSG00000100604	14
ITPK1_IL3577160	ENSG00000100605	14
DHRS7_IL3567187	ENSG00000100612	14
PPM1A_IL3538555	ENSG00000100614	14
ASB2_IL3577443	ENSG00000100628	14
ERH_IL3570049	ENSG00000100632	14
HIF1A_IL3539070	ENSG00000100644	14
KIAA0247_IL3542145	ENSG00000100647	14
SRSF5_IL3542207	ENSG00000100650	14
SLC10A1_IL3570266	ENSG00000100652	14
EIF5_IL3553607	ENSG00000100664	14
SLC8A3_IL3570373	ENSG00000100678	14
DICER1_IL3577870	ENSG00000100697	14
ZFYVE21_IL3553947	ENSG00000100711	14
MTHFD1_IL3540007	ENSG00000100714	14
TCL1A_IL3578152	ENSG00000100721	14
TELO2_IL3643892	ENSG00000100726	16
PCNX_IL3542689	ENSG00000100731	14
ATG2B_IL3578278	ENSG00000100744	14
VRK1_IL3550485	ENSG00000100749	14
PAPLN_IL3543539	ENSG00000100767	14
RPS6KA5_IL3576284	ENSG00000100784	14
SMEK1_IL3576545	ENSG00000100796	14
C14orf93_IL3557017	ENSG00000100802	14
PSMB5_IL3557048	ENSG00000100804	14
YY1_IL3551677	ENSG00000100811	14
CCNB1IP1_IL3555300	ENSG00000100814	14
TRIP11_IL3576812	ENSG00000100815	14
PABPN1_IL3529082	ENSG00000100836	14
ARHGAP5_IL3531479	ENSG00000100852	14
CINP_IL3580319	ENSG00000100865	14
SRP54_IL3532313	ENSG00000100883	14
PCK2_IL3529508	ENSG00000100889	14
DCAF11_IL3529547	ENSG00000100897	14
NFKBIA_IL3561039	ENSG00000100906	14
BRMS1L_IL3532560	ENSG00000100916	14
REC8_IL3529725	ENSG00000100918	14
TM9SF1_IL3557898	ENSG00000100926	14
SEC23A_IL3561952	ENSG00000100934	14
PNN_IL3533435	ENSG00000100941	14
RABGGTA_IL3558071	ENSG00000100949	14
NFATC4_IL3529908	ENSG00000100968	14
PLTP_IL3907524	ENSG00000100979	20
PCIF1_IL3887165	ENSG00000100982	20
GSS_IL3903670	ENSG00000100983	20
MMP9_IL3887210	ENSG00000100985	20
TRPC4AP_IL3903708	ENSG00000100991	20
PYGB_IL3880767	ENSG00000100994	20
ABHD12_IL3901851	ENSG00000100997	20
PROCR_IL3883207	ENSG00000101000	20
GINS1_IL3880827	ENSG00000101003	20
NINL_IL3901955	ENSG00000101004	20
CD40_IL3887302	ENSG00000101017	20
ZMYND8_IL3908149	ENSG00000101040	20
SGK2_IL3886143	ENSG00000101049	20
IFT52_IL3886179	ENSG00000101052	20
MYBL2_IL3886223	ENSG00000101057	20
NDRG3_IL3904527	ENSG00000101079	20
SLA2_IL3904508	ENSG00000101082	20
NFATC2_IL3909553	ENSG00000101096	20
STK4_IL3886704	ENSG00000101109	20
SALL4_IL3909777	ENSG00000101115	20
ADNP_IL3909354	ENSG00000101126	20
PFDN4_IL3889766	ENSG00000101132	20
CSTF1_IL3890154	ENSG00000101138	20
RAE1_IL3890555	ENSG00000101146	20
TPD52L2_IL3893760	ENSG00000101150	20
DNAJC5_IL3893796	ENSG00000101152	20
CTSZ_IL3911767	ENSG00000101160	20
PRPF6_IL3893849	ENSG00000101161	20
TUBB1_IL3891342	ENSG00000101162	20
SLMO2_IL3911814	ENSG00000101166	20
PSMA7_IL3912861	ENSG00000101182	20
SLCO4A1_IL3892812	ENSG00000101187	20
NTSR1_IL3892873	ENSG00000101188	20
TCFL5_IL3913483	ENSG00000101190	20
DIDO1_IL3913544	ENSG00000101191	20
SLC17A9_IL3893086	ENSG00000101194	20
BIRC7_IL3893250	ENSG00000101197	20
ARFGAP1_IL3893287	ENSG00000101199	20
EEF1A2_IL3913892	ENSG00000101210	20
PTK6_IL3913926	ENSG00000101213	20
GMEB2_IL3914021	ENSG00000101216	20
C20orf27_IL3895679	ENSG00000101220	20
CDC25B_IL3874438	ENSG00000101224	20
RNF24_IL3895795	ENSG00000101236	20
ARFRP1_IL3914072	ENSG00000101246	20
TRIB3_IL3873160	ENSG00000101255	20
RASSF2_IL3896034	ENSG00000101265	20
ANGPT4_IL3894413	ENSG00000101280	20
CDS2_IL3874900	ENSG00000101290	20
HM13_IL3881282	ENSG00000101294	20
SNPH_IL3873480	ENSG00000101298	20
SIRPB1_IL3894727	ENSG00000101307	20
SEC23B_IL3878467	ENSG00000101310	20
MYL9_IL3883921	ENSG00000101335	20
HCK_IL3881651	ENSG00000101336	20
TM9SF4_IL3881686	ENSG00000101337	20
CRNKL1_IL3899954	ENSG00000101343	20
POFUT1_IL3881786	ENSG00000101346	20
SAMHD1_IL3904691	ENSG00000101347	20
KIF3B_IL3881824	ENSG00000101350	20
NOP56_IL3873874	ENSG00000101361	20
MANBAL_IL3884158	ENSG00000101363	20
IDH3B_IL3895075	ENSG00000101365	20
MAPRE1_IL3882069	ENSG00000101367	20
JAG1_IL3897505	ENSG00000101384	20
CDK5RAP1_IL3902983	ENSG00000101391	20
SNTA1_IL3903052	ENSG00000101400	20
TTI1_IL3905073	ENSG00000101407	20
E2F1_IL3903146	ENSG00000101412	20
RPRD1B_IL3884450	ENSG00000101413	20
PXMP4_IL3903169	ENSG00000101417	20
CHMP4B_IL3882681	ENSG00000101421	20
BPI_IL3884524	ENSG00000101425	20
CST3_IL3901296	ENSG00000101439	20
ACTR5_IL3884800	ENSG00000101442	20
WFDC2_IL3886938	ENSG00000101443	20
AHCY_IL3903361	ENSG00000101444	20
PPP1R16B_IL3884830	ENSG00000101445	20
FAM83D_IL3884892	ENSG00000101447	20
DHX35_IL3884922	ENSG00000101452	20
DNTTIP1_IL3887017	ENSG00000101457	20
MAP1LC3A_IL3882984	ENSG00000101460	20
PIGU_IL3903481	ENSG00000101464	20
TNNC2_IL3907456	ENSG00000101470	20
ACOT8_IL3907473	ENSG00000101473	20
ZNF516_IL3813840	ENSG00000101493	18
CDH20_IL3790982	ENSG00000101542	18
ADNP2_IL3795501	ENSG00000101544	18
THOC1_IL3795680	ENSG00000101557	18
VAPA_IL3778601	ENSG00000101558	18
METTL4_IL3796244	ENSG00000101574	18
LPIN2_IL3796335	ENSG00000101577	18
SMCHD1_IL3776193	ENSG00000101596	18
MYOM1_IL3796428	ENSG00000101605	18
CEP192_IL3779817	ENSG00000101639	18
RNMT_IL3780287	ENSG00000101654	18
SMAD7_IL3807261	ENSG00000101665	18
RNF125_IL3783723	ENSG00000101695	18
ANKRD12_IL3778252	ENSG00000101745	18
POLI_IL3788833	ENSG00000101751	18
MIB1_IL3781124	ENSG00000101752	18
RBBP8_IL3781429	ENSG00000101773	18
RIOK3_IL3781654	ENSG00000101782	18
EEA1_IL3465593	ENSG00000102189	12
FRMD5_IL3621728	ENSG00000102309	X
NDFIP2_IL3495076	ENSG00000102471	13
TNFSF13B_IL3500787	ENSG00000102524	13
FNDC3A_IL3489212	ENSG00000102531	13
CDADC1_IL3489350	ENSG00000102543	13
CAB39L_IL3513752	ENSG00000102547	13
KLF5_IL3493543	ENSG00000102554	13
STK24_IL3522225	ENSG00000102572	13
ACP5_IL3851072	ENSG00000102575	19
DNAJC3_IL3497270	ENSG00000102580	13
UGGT2_IL3521484	ENSG00000102595	13
ARHGEF7_IL3501661	ENSG00000102606	13
FGF9_IL3480885	ENSG00000102678	13
PARP4_IL3505781	ENSG00000102699	13
MRPS31_IL3510925	ENSG00000102738	13
SLC25A15_IL3486728	ENSG00000102743	13
KPNA3_IL3513883	ENSG00000102753	13
FLT1_IL3507282	ENSG00000102755	13
DGKH_IL3487095	ENSG00000102780	13
KATNAL1_IL3507962	ENSG00000102781	13
INTS6_IL3514488	ENSG00000102786	13
DHRS12_IL3514639	ENSG00000102796	13
TSC22D1_IL3512294	ENSG00000102804	13
CLN5_IL3494502	ENSG00000102805	13
OLFM4_IL3490892	ENSG00000102837	13
MSLN_IL3643396	ENSG00000102854	16
MGRN1_IL3646277	ENSG00000102858	16
TRADD_IL3695433	ENSG00000102871	16
HSF4_IL3665230	ENSG00000102878	16
CORO1A_IL3655986	ENSG00000102879	16
MAPK3_IL3687494	ENSG00000102882	16
GDPD3_IL3687475	ENSG00000102886	16
ELMO3_IL3665315	ENSG00000102890	16
PHKB_IL3659156	ENSG00000102893	16
LYRM1_IL3651588	ENSG00000102897	16
NUTF2_IL3665857	ENSG00000102898	16
NUP93_IL3662265	ENSG00000102900	16
CENPT_IL3695916	ENSG00000102901	16
TSNAXIP1_IL3665811	ENSG00000102904	16
NFAT5_IL3666779	ENSG00000102908	16
LONP2_IL3659306	ENSG00000102910	16
N4BP1_IL3690597	ENSG00000102921	16
ARL2BP_IL3662650	ENSG00000102931	16
PLLP_IL3693141	ENSG00000102934	16
DHODH_IL3667811	ENSG00000102967	16
CTCF_IL3665603	ENSG00000102974	16
ACD_IL3695786	ENSG00000102977	16
PARD6A_IL3665722	ENSG00000102981	16
ZNF821_IL3697882	ENSG00000102984	16
MMP15_IL3663074	ENSG00000102996	16
CYB5B_IL3666732	ENSG00000103018	16
CCDC113_IL3663181	ENSG00000103021	16
NME3_IL3676113	ENSG00000103024	16
NDRG4_IL3663287	ENSG00000103034	16
SETD6_IL3663363	ENSG00000103037	16
SLC38A7_IL3693788	ENSG00000103042	16
VAC14_IL3697218	ENSG00000103043	16
HAS3_IL3666542	ENSG00000103044	16
COG4_IL3697125	ENSG00000103051	16
SMPD3_IL3696317	ENSG00000103056	16
SLC7A6OS_IL3696295	ENSG00000103061	16
PLA2G15_IL3666124	ENSG00000103066	16
ESRP2_IL3696226	ENSG00000103067	16
FA2H_IL3699133	ENSG00000103089	16
WDR59_IL3699178	ENSG00000103091	16
MON1B_IL3669382	ENSG00000103111	16
CENPN_IL3670631	ENSG00000103121	16
AXIN1_IL3675047	ENSG00000103126	16
THOC6_IL3645565	ENSG00000103145	16
MPG_IL3642604	ENSG00000103148	16
MLYCD_IL3671482	ENSG00000103150	16
NECAB2_IL3671552	ENSG00000103154	16
HSDL1_IL3702352	ENSG00000103160	16
TAF1C_IL3702382	ENSG00000103168	16
NAGPA_IL3678516	ENSG00000103174	16
SEC14L5_IL3646495	ENSG00000103184	16
COTL1_IL3702547	ENSG00000103187	16
USP10_IL3671873	ENSG00000103194	16
CRISPLD2_IL3671935	ENSG00000103196	16
TSC2_IL3644375	ENSG00000103197	16
NME4_IL3642815	ENSG00000103202	16
ABCC1_IL3649890	ENSG00000103222	16
LMF1_IL3675462	ENSG00000103227	16
NARFL_IL3675369	ENSG00000103245	16
MTHFSD_IL3703408	ENSG00000103248	16
CLCN7_IL3675935	ENSG00000103249	16
FAM173A_IL3643347	ENSG00000103254	16
SLC7A5_IL3703885	ENSG00000103257	16
METRN_IL3643333	ENSG00000103260	16
FBXO31_IL3703598	ENSG00000103264	16
STUB1_IL3643297	ENSG00000103266	16
RHBDL1_IL3643281	ENSG00000103269	16
NUBP1_IL3647956	ENSG00000103274	16
UBE2I_IL3643703	ENSG00000103275	16
MEFV_IL3677516	ENSG00000103313	16
CRYM_IL3684039	ENSG00000103316	16
GSPT1_IL3680610	ENSG00000103342	16
ZNF174_IL3645881	ENSG00000103343	16
CLUAP1_IL3645947	ENSG00000103351	16
PRSS33_IL3677218	ENSG00000103355	16
EARS2_IL3685261	ENSG00000103356	16
TCEB2_IL3677164	ENSG00000103363	16
GGA2_IL3685183	ENSG00000103365	16
CPPED1_IL3680953	ENSG00000103381	16
USP31_IL3685051	ENSG00000103404	16
HMOX2_IL3646199	ENSG00000103415	16
DNAJA3_IL3646164	ENSG00000103423	16
BFAR_IL3649245	ENSG00000103429	16
RBL2_IL3661065	ENSG00000103479	16
QPRT_IL3655587	ENSG00000103485	16
XYLT1_IL3682445	ENSG00000103489	16
PYCARD_IL3688311	ENSG00000103490	16
MAZ_IL3655665	ENSG00000103495	16
STX4_IL3656760	ENSG00000103496	16
CDIPT_IL3687260	ENSG00000103502	16
BCKDK_IL3656829	ENSG00000103507	16
IL21R_IL3654227	ENSG00000103522	16
SYT17_IL3650861	ENSG00000103528	16
TMC5_IL3650953	ENSG00000103534	16
C16orf62_IL3651057	ENSG00000103544	16
RNF40_IL3656555	ENSG00000103549	16
AQP9_IL3595594	ENSG00000103569	15
AAGAB_IL3630450	ENSG00000103591	15
IQCH_IL3599059	ENSG00000103599	15
LACTB_IL3597421	ENSG00000103642	15
CORO2B_IL3599495	ENSG00000103647	15
CSK_IL3601840	ENSG00000103653	15
HERC1_IL3628650	ENSG00000103657	15
TRIP4_IL3597977	ENSG00000103671	15
MTFMT_IL3629378	ENSG00000103707	15
AP3B2_IL3636216	ENSG00000103723	15
ACSBG1_IL3634529	ENSG00000103740	15
IGDCC4_IL3629652	ENSG00000103742	15
RAB11A_IL3598482	ENSG00000103769	15
CTSH_IL3634811	ENSG00000103811	15
TTC23_IL3641391	ENSG00000103852	15
CD276_IL3601229	ENSG00000103855	15
FAH_IL3603932	ENSG00000103876	15
RPAP1_IL3620054	ENSG00000103932	15
HOMER2_IL3636391	ENSG00000103942	15
EHD4_IL3620276	ENSG00000103966	15
TMEM87A_IL3620515	ENSG00000103978	15
ATP8B4_IL3623552	ENSG00000104043	15
DTWD1_IL3593452	ENSG00000104047	15
GABPB1_IL3623683	ENSG00000104064	15
BMF_IL3619229	ENSG00000104081	15
DMXL2_IL3624145	ENSG00000104093	15
DNAJC17_IL3619650	ENSG00000104129	15
EIF3J_IL3591963	ENSG00000104131	15
SPG11_IL3621948	ENSG00000104133	15
VPS18_IL3590204	ENSG00000104142	15
OIP5_IL3619945	ENSG00000104147	15
SLC30A4_IL3622436	ENSG00000104154	15
SGK3_IL3101802	ENSG00000104205	8
CSPP1_IL3101893	ENSG00000104218	8
ZDHHC2_IL3087501	ENSG00000104219	8
BRF2_IL3131720	ENSG00000104221	8
TRIM35_IL3128954	ENSG00000104228	8
ZFAND1_IL3142519	ENSG00000104231	8
CA2_IL3105600	ENSG00000104267	8
FZD3_IL3091746	ENSG00000104290	8
INTS9_IL3129465	ENSG00000104299	8
RIPK2_IL3106243	ENSG00000104312	8
NBN_IL3143970	ENSG00000104320	8
DECR1_IL3106310	ENSG00000104325	8
CALB1_IL3144033	ENSG00000104327	8
IMPAD1_IL3136413	ENSG00000104331	8
SFRP1_IL3132782	ENSG00000104332	8
LAPTM4B_IL3108489	ENSG00000104341	8
UBE2W_IL3140763	ENSG00000104343	8
POP1_IL3108665	ENSG00000104356	8
NIPAL2_IL3146012	ENSG00000104361	8
IKBKB_IL3096092	ENSG00000104365	8
PLAT_IL3133233	ENSG00000104368	8
STK3_IL3146103	ENSG00000104375	8
GDAP1_IL3103607	ENSG00000104381	8
RAB2A_IL3100166	ENSG00000104388	8
EIF3E_IL3148582	ENSG00000104408	8
NDRG1_IL3154317	ENSG00000104419	8
IL7_IL3141589	ENSG00000104432	8
ARMC1_IL3138414	ENSG00000104442	8
TRPS1_IL3149528	ENSG00000104447	8
SPAG1_IL3109201	ENSG00000104450	8
CHRAC1_IL3118451	ENSG00000104472	8
NCALD_IL3147173	ENSG00000104490	8
SNX16_IL3142554	ENSG00000104497	8
UBR5_IL3147321	ENSG00000104517	8
GSDMD_IL3119656	ENSG00000104518	8
TSTA3_IL3157660	ENSG00000104522	8
PYCRL_IL3157647	ENSG00000104524	8
EEF1D_IL3157596	ENSG00000104529	8
SQLE_IL3114832	ENSG00000104549	8
SH2D4A_IL3088213	ENSG00000104611	8
INTS10_IL3088405	ENSG00000104613	8
ERI1_IL3085065	ENSG00000104626	8
MTMR9_IL3085874	ENSG00000104643	8
LEPROTL1_IL3092276	ENSG00000104660	8
DCTN6_IL3092325	ENSG00000104671	8
GSR_IL3130161	ENSG00000104687	8
TNFRSF10A_IL3127775	ENSG00000104689	8
UBXN8_IL3092605	ENSG00000104691	8
PPP2CB_IL3130211	ENSG00000104695	8
ERICH1_IL3121228	ENSG00000104714	8
NEFM_IL3090436	ENSG00000104722	8
TUSC3_IL3087167	ENSG00000104723	8
NEFL_IL3128271	ENSG00000104725	
ARHGEF10_IL3082954	ENSG00000104728	8
JPH3_IL3672886	ENSG00000104731	16
MCM4_IL3097152	ENSG00000104738	8
KCTD9_IL3128372	ENSG00000104756	8
ASAH1_IL3126087	ENSG00000104763	8
BNIP3L_IL3091000	ENSG00000104765	8
KCNN4_IL3864646	ENSG00000104783	19
TULP2_IL3867493	ENSG00000104804	19
DHDH_IL3838052	ENSG00000104808	19
GYS1_IL3867538	ENSG00000104812	19
MAP4K1_IL3861413	ENSG00000104814	19
ECH1_IL3861581	ENSG00000104823	19
HNRNPL_IL3861617	ENSG00000104824	19
NFKBIB_IL3832760	ENSG00000104825	19
MRPS12_IL3832777	ENSG00000104835	19
SNRNP70_IL3838185	ENSG00000104852	19
CLPTM1_IL3835935	ENSG00000104853	19
RELB_IL3835966	ENSG00000104856	19
C19orf73_IL3867693	ENSG00000104863	19
FCGRT_IL3838624	ENSG00000104870	19
PIH1D1_IL3867865	ENSG00000104872	19
CKM_IL3865275	ENSG00000104879	19
ARHGEF18_IL3818732	ENSG00000104880	19
PPP1R13L_IL3865344	ENSG00000104881	19
PEX11G_IL3848408	ENSG00000104883	19
ERCC2_IL3865301	ENSG00000104884	19
DOT1L_IL3816264	ENSG00000104885	19
PLEKHJ1_IL3845782	ENSG00000104886	19
RNASEH2A_IL3821908	ENSG00000104889	19
KLC3_IL3836217	ENSG00000104892	19
CD37_IL3838385	ENSG00000104894	19
SF3A2_IL3816333	ENSG00000104897	19
AMH_IL3816359	ENSG00000104899	19
LYL1_IL3852022	ENSG00000104903	19
OAZ1_IL3816380	ENSG00000104904	19
TRMT1_IL3852034	ENSG00000104907	19
STX10_IL3852079	ENSG00000104915	19
RETN_IL3819076	ENSG00000104918	19
FCER2_IL3848492	ENSG00000104921	19
DMPK_IL3865635	ENSG00000104936	19
TBC1D17_IL3839057	ENSG00000104946	19
TLE6_IL3816724	ENSG00000104953	19
CCDC130_IL3822287	ENSG00000104957	19
PTOV1_IL3839006	ENSG00000104960	19
AES_IL3846114	ENSG00000104964	19
SGTA_IL3846011	ENSG00000104969	19
KIR3DX1_IL3841525	ENSG00000104970	19
LILRB1_IL3841574	ENSG00000104972	19
MED25_IL3838947	ENSG00000104973	19
LILRA1_IL3841545	ENSG00000104974	19
SNAPC2_IL3819312	ENSG00000104976	19
C19orf53_IL3822347	ENSG00000104979	19
TIMM44_IL3848651	ENSG00000104980	19
IL27RA_IL3822551	ENSG00000104998	19
ASF1B_IL3852565	ENSG00000105011	19
TNNT1_IL3871095	ENSG00000105048	19
VRK3_IL3868283	ENSG00000105053	19
FAM32A_IL3823613	ENSG00000105058	19
PPP6R1_IL3871256	ENSG00000105063	19
C19orf44_IL3823752	ENSG00000105072	19
MED26_IL3854032	ENSG00000105085	19
OLFM2_IL3849894	ENSG00000105088	19
RASAL3_IL3853453	ENSG00000105122	19
AKAP8_IL3853299	ENSG00000105127	19
EPHX3_IL3853178	ENSG00000105131	19
ILVBL_IL3853063	ENSG00000105135	19
ZNF419_IL3843275	ENSG00000105136	19
SYDE1_IL3823019	ENSG00000105137	19
AURKC_IL3843122	ENSG00000105146	19
POP4_IL3828032	ENSG00000105171	19
CCNE1_IL3828112	ENSG00000105173	19
PDCD5_IL3829020	ENSG00000105185	19
ANKRD27_IL3858659	ENSG00000105186	19
RPS16_IL3862018	ENSG00000105193	19
TIMM50_IL3833093	ENSG00000105197	19
FBL_IL3862167	ENSG00000105202	19
DYRK1B_IL3862128	ENSG00000105204	19
CLC_IL3862108	ENSG00000105205	19
CNTD2_IL3862452	ENSG00000105219	19
GPI_IL3829687	ENSG00000105220	19
AKT2_IL3862471	ENSG00000105221	19
PLD3_IL3833443	ENSG00000105223	19
PRX_IL3862611	ENSG00000105227	19
PIAS4_IL3817256	ENSG00000105229	19
NUMBL_IL3862704	ENSG00000105245	19
EBI3_IL3817380	ENSG00000105246	19
CCDC94_IL3817400	ENSG00000105248	19
SHD_IL3817420	ENSG00000105251	19
TBCB_IL3831143	ENSG00000105254	19
FSD1_IL3817437	ENSG00000105255	19
CLIP3_IL3860229	ENSG00000105270	19
SLC1A5_IL3866276	ENSG00000105281	19
PRKD2_IL3866135	ENSG00000105287	19
TJP3_IL3817116	ENSG00000105289	19
APLP1_IL3830961	ENSG00000105290	19
CCDC9_IL3837193	ENSG00000105321	19
FZR1_IL3816988	ENSG00000105325	19
BBC3_IL3866435	ENSG00000105327	19
TGFB1_IL3863021	ENSG00000105329	19
DENND3_IL3118651	ENSG00000105339	8
ATP5SL_IL3863087	ENSG00000105341	19
CEACAM4_IL3863189	ENSG00000105352	19
PLIN3_IL3847005	ENSG00000105355	19
MRPL4_IL3820414	ENSG00000105364	19
SIGLEC12_IL3869078	ENSG00000105366	19
CD79A_IL3834502	ENSG00000105369	19
LIM2_IL3869010	ENSG00000105370	19
RPS19_IL3834465	ENSG00000105372	19
GLTSCR2_IL3837464	ENSG00000105373	19
NKG7_IL3868998	ENSG00000105374	19
ICAM5_IL3820469	ENSG00000105376	19
ETFB_IL3868963	ENSG00000105379	19
CD33_IL3839718	ENSG00000105383	19
TYK2_IL3850278	ENSG00000105397	19
CDC37_IL3850331	ENSG00000105401	19
NAPA_IL3866605	ENSG00000105402	19
RABAC1_IL3863323	ENSG00000105404	19
ATP1A3_IL3863342	ENSG00000105409	19
MEIS3_IL3866491	ENSG00000105419	19
PTPRS_IL3847112	ENSG00000105426	19
CNFN_IL3863597	ENSG00000105427	19
MEGF8_IL3834837	ENSG00000105429	19
KDELR1_IL3867092	ENSG00000105438	19
CYTH2_IL3837836	ENSG00000105443	19
GRWD1_IL3837796	ENSG00000105447	19
GRIN2D_IL3837759	ENSG00000105464	19
CLEC11A_IL3839464	ENSG00000105472	19
CCDC114_IL3867032	ENSG00000105479	19
CARD8_IL3866958	ENSG00000105483	19
LIG1_IL3866898	ENSG00000105486	19
SIGLEC6_IL3869097	ENSG00000105492	19
ZNF175_IL3839818	ENSG00000105497	19
PLA2G4C_IL3866845	ENSG00000105499	19
CABP5_IL3866831	ENSG00000105507	19
HAS1_IL3869215	ENSG00000105509	19
RAB3D_IL3850817	ENSG00000105514	19
TMEM205_IL3850832	ENSG00000105518	19
CAPS_IL3818193	ENSG00000105519	19
LPPR2_IL3821159	ENSG00000105520	19
RASIP1_IL3867346	ENSG00000105538	19
BCAT2_IL3867415	ENSG00000105552	19
MIER2_IL3844486	ENSG00000105556	19
PLEKHA4_IL3867458	ENSG00000105559	19
PPP2R1A_IL3840058	ENSG00000105568	19
TNPO2_IL3851651	ENSG00000105576	19
GCDH_IL3821995	ENSG00000105607	19
LILRB5_IL3870692	ENSG00000105609	19
KLF1_IL3851840	ENSG00000105610	19
DNASE2_IL3851826	ENSG00000105612	19
MAST1_IL3821937	ENSG00000105613	19
LENG1_IL3870520	ENSG00000105617	19
PRPF31_IL3841231	ENSG00000105618	19
TFPT_IL3870494	ENSG00000105619	19
JAK3_IL3854627	ENSG00000105639	19
SLC5A5_IL3824623	ENSG00000105641	19
ARRDC2_IL3824713	ENSG00000105643	19
RAB3A_IL3854756	ENSG00000105649	19
ISYNA1_IL3854982	ENSG00000105655	19
ELL_IL3855011	ENSG00000105656	19
CRTC1_IL3825292	ENSG00000105662	19
COPE_IL3855324	ENSG00000105669	19
DDX49_IL3825446	ENSG00000105671	19
ARMC6_IL3825496	ENSG00000105676	19
TMEM147_IL3830530	ENSG00000105677	19
MAG_IL3830320	ENSG00000105695	19
USF2_IL3830277	ENSG00000105698	19
LSR_IL3830246	ENSG00000105699	19
FKBP8_IL3855071	ENSG00000105701	19
HPN_IL3830065	ENSG00000105707	19
ZNF14_IL3855985	ENSG00000105708	19
SCN1B_IL3830051	ENSG00000105711	19
PBX4_IL3855818	ENSG00000105717	19
ERF_IL3863547	ENSG00000105722	19
GSK3A_IL3863522	ENSG00000105723	19
ATP13A1_IL3855910	ENSG00000105726	19
ZNF574_IL3834599	ENSG00000105732	19
GRIK5_IL3863380	ENSG00000105737	19
WDR87_IL3861130	ENSG00000105738	19
ZNF85_IL3826306	ENSG00000105750	19
CADM4_IL3864519	ENSG00000105767	19
AVL9_IL2996033	ENSG00000105778	7
RUNDC3B_IL3011409	ENSG00000105784	7
GTPBP10_IL3011977	ENSG00000105793	7
RASA4_IL3065244	ENSG00000105808	7
CDK6_IL3061319	ENSG00000105810	7
PMPCB_IL3017123	ENSG00000105819	7
DNAJC2_IL3065638	ENSG00000105821	7
BET1_IL3061651	ENSG00000105829	7
NAMPT_IL3066818	ENSG00000105835	7
TWISTNB_IL3040454	ENSG00000105849	7
PIK3CG_IL3018309	ENSG00000105851	7
PON2_IL3061997	ENSG00000105854	7
ITGB8_IL2991860	ENSG00000105855	7
HBP1_IL3018420	ENSG00000105856	7
DUS4L_IL3018509	ENSG00000105865	7
SP4_IL2992197	ENSG00000105866	7
WDR91_IL3074260	ENSG00000105875	7
DNAH11_IL2992243	ENSG00000105877	7
CBLL1_IL3018652	ENSG00000105879	7
LUZP6_IL3074640	ENSG00000105887	7
STEAP1_IL3011838	ENSG00000105889	7
MPP6_IL2993206	ENSG00000105926	7
DFNA5_IL3041816	ENSG00000105928	7
ZC3HAV1_IL3075566	ENSG00000105939	7
TTC26_IL3026834	ENSG00000105948	7
OGDH_IL2999948	ENSG00000105953	7
